Wavelength,S_Cone_Sensitivity,M_Cone_Sensitivity,L_Cone_Sensitivity
453.0,0.17471458415839108,0.20722802094362958,0.2140350663165494
453.5,0.1735213281672148,0.21017219757764347,0.21559874127350628
454.0,0.17233570455804872,0.21318888591931848,0.21724181557744263
454.5,0.1711570656149605,0.21628261603642931,0.21897175490624837
455.0,0.16998476362201778,0.21945791799675068,0.22079602493781358
455.5,0.16881948426990862,0.22272090814783946,0.2227234349559393
456.0,0.16766724687580217,0.22608404795638162,0.2247681686680711
456.5,0.16653540416348794,0.22956138516884522,0.22694575338756556
457.0,0.16543130885675542,0.2331669675316985,0.22927171642777933
457.5,0.1643623136793941,0.23691484279140954,0.23176158510206898
458.0,0.16333577135519353,0.24081905869444656,0.23443088672379128
458.5,0.16235903460794315,0.2448936629872777,0.23729514860630277
459.0,0.1614394561614325,0.24915270341637105,0.24036989806296008
459.5,0.16058438873945105,0.25361022772819486,0.24367066240711988
460.0,0.1598011850657883,0.25828028366921724,0.2472129689521388
460.5,0.15909252077179,0.26317362017039503,0.2510105042289207
461.0,0.1584423631190264,0.2682877909006398,0.25506959163855875
461.5,0.15783000227662397,0.2736170507133517,0.25939471379969314
462.0,0.15723472841370914,0.2791556544619309,0.26399035333096427
462.5,0.15663583169940842,0.2848978569997776,0.2688609928510124
463.0,0.15601260230284827,0.2908379131802921,0.274011114978478
463.5,0.1553443303931552,0.2969700778568745,0.27944520233200126
464.0,0.1546103061394556,0.30328860588292506,0.28516773753022245
464.5,0.153789819710876,0.30978775211184395,0.2911832031917821
465.0,0.1528621612765428,0.31646177139703136,0.2974960819353204
465.5,0.15181127995285423,0.3233040965880439,0.3041088559333008
466.0,0.15063976064529486,0.3303048725190632,0.31101600557347847
466.5,0.149354847206621,0.33745342202042766,0.31821001079743183
467.0,0.14796378348958894,0.3447390679224752,0.3256833515467391
467.5,0.146473813346955,0.35215113305554396,0.3334285077629786
468.0,0.14489218063147546,0.3596789402499722,0.34143795938772875
468.5,0.1432261291959066,0.36731181233609794,0.3497041863625678
469.0,0.14148290289300477,0.3750390721442593,0.358219668629074
469.5,0.13966974557552628,0.3828500425047945,0.36697688612882573
470.0,0.13779390109622733,0.3907340462480416,0.37596831880340126
470.5,0.13586199748839814,0.3986829164782667,0.3851890161285796
471.0,0.13387819950746396,0.40669852739544765,0.39464430571694126
471.5,0.13184605608938402,0.41478526347348993,0.4043420847152676
472.0,0.12976911617011735,0.4229475091862993,0.41429025027033994
472.5,0.12765092868562317,0.4311896490077815,0.4244966995289394
473.0,0.12549504257186062,0.4395160674118423,0.4349693296378475
473.5,0.12330500676478884,0.4479311488723872,0.4457160377438453
474.0,0.12108437020036696,0.456439277863322,0.456744720993714
474.5,0.11883668181455413,0.46504483885855236,0.4680632765342351
475.0,0.1165654905433095,0.4737522163319839,0.4796796015121897
475.5,0.11427452697480774,0.4825654541452519,0.49159904371953034
476.0,0.11196824830608558,0.49148723371090924,0.5038167535288941
476.5,0.10965129338639525,0.5005198958292384,0.5163253319580894
477.0,0.10732830106498899,0.5096657813005215,0.5291173800249245
477.5,0.10500391019111902,0.518927230925041,0.5421854987472076
478.0,0.10268275961403764,0.5283065855030795,0.5555222891427471
478.5,0.10036948818299704,0.5378061858349193,0.5691203522293514
479.0,0.09806873474724949,0.5474283727208427,0.5829722890248289
479.5,0.09578513815604724,0.5571754869611321,0.5970707005469875
480.0,0.09352333725864251,0.5670498693560699,0.611408187813636
480.5,0.0912873933558262,0.5770543371583,0.625981633633359
481.0,0.08907905755454366,0.587193613429912,0.6408050479778469
481.5,0.08689950341327898,0.597472897685357,0.6558967226095662
482.0,0.08474990449051617,0.6078973894390861,0.6712749492909837
482.5,0.08263143434473924,0.6184722882055502,0.6869580197845662
483.0,0.08054526653443225,0.6292027934992006,0.7029642258527805
483.5,0.07849257461807918,0.6400941048344883,0.7193118592580932
484.0,0.07647453215416411,0.6511514217258644,0.736019211762971
484.5,0.07449231270117104,0.66237994368778,0.7531045751298807
485.0,0.07254708981758401,0.673784870234686,0.770586241121289
485.5,0.07063993709414594,0.6853748071885762,0.7884832441628796
486.0,0.0687715282506352,0.6971719856016141,0.8068175893332026
